"band_id","age","sex","2005","2006","2007","2008","2009","2010","2011","NA","cap"
97889943,1,4,1,0,0,0,0,0,0,0,"1000000"
97889944,1,4,1,0,0,0,0,0,0,0,"1000000"
97889945,1,4,1,0,0,0,0,0,0,0,"1000000"
97889946,1,5,1,0,0,0,0,0,0,0,"1000000"
97889947,1,4,1,0,1,0,0,0,0,0,"1010000"
97889948,1,4,1,0,0,0,0,1,0,0,"1000010"
97889949,1,5,1,0,0,0,0,1,0,0,"1000010"
97889950,1,5,1,0,0,0,0,0,0,0,"1000000"
97889968,1,4,1,0,0,0,0,0,0,0,"1000000"
97889973,1,5,0,0,0,0,0,1,0,0,"0000010"
97889979,4,5,0,1,0,0,0,0,0,0,"0100000"
97889985,4,4,1,0,0,0,0,0,0,0,"1000000"
97889989,1,5,1,0,0,0,0,0,0,0,"1000000"
97889991,1,5,0,1,0,0,0,0,0,0,"0100000"
97889998,1,5,1,0,0,0,0,0,0,0,"1000000"
97890001,1,4,0,0,0,1,0,0,0,0,"0001000"
97890006,1,4,0,0,0,0,1,0,0,0,"0000100"
97890008,1,4,0,0,1,0,0,0,0,0,"0010000"
97890012,1,4,0,0,0,0,1,0,0,0,"0000100"
97890013,1,4,1,0,0,0,0,0,0,0,"1000000"
97890016,1,5,1,0,0,0,0,0,0,0,"1000000"
97890022,1,4,1,0,0,0,0,0,0,0,"1000000"
97890024,1,5,0,0,1,0,0,0,0,0,"0010000"
