"","band","sex","age","ch"
"186",96897803,5,1,"0100000"
"187",96897804,4,1,"0100000"
"188",96897805,4,1,"0100000"
"189",96897806,4,1,"0100001"
"190",96897807,4,1,"0110000"
"191",96897808,5,1,"0100100"
"192",96897809,5,1,"0100000"
"193",96897810,4,1,"0100000"
"194",96897811,4,1,"0100000"
"195",96897812,4,1,"0100000"
"196",96897813,5,1,"0100010"
"197",96897814,5,1,"0100000"
"198",96897815,4,1,"0100000"
"199",96897816,4,1,"0100000"
"200",96897817,5,1,"0100000"
"201",96897818,5,1,"0100000"
"202",96897819,5,1,"0100000"
"203",96897820,4,1,"0100010"
"204",96897821,4,1,"0100000"
"205",96897822,5,1,"0100000"
"206",96897823,4,1,"0100000"
"207",96897824,4,1,"0100000"
"208",96897825,4,1,"0100000"
"209",96897826,4,1,"0100000"
"210",96897827,4,1,"0100000"
"211",96897828,5,1,"0100100"
"212",96897829,5,1,"0100100"
"213",96897830,5,1,"0100000"
"214",96897831,5,1,"0100000"
"215",96897832,4,2,"0100000"
"216",96897833,4,1,"0100000"
"217",96897834,4,2,"0110000"
